id,postal_code,latitude,longitude
613492,OX12 8PJ,51.585398,-1.408782
613603,OX12 8SG,51.60695,-1.387186
613775,OX12 0DU,51.62431,-1.450806
613844,OX12 0HP,51.63601,-1.392765
613996,OX11 9HF,51.549581,-1.261748
613997,OX11 9HG,51.558258,-1.253447
614052,OX11 9LB,51.593476,-1.235056
614544,OX11 0SN,51.570131,-1.291907
615034,OX10 7PH,51.650865,-1.158163
615227,OX10 6PX,51.603258,-1.068835
615243,OX10 6QS,51.567666,-1.046513
615627,OX10 0BP,51.600964,-1.12286
615718,OX10 6PL,51.606983,-1.078218
615720,OX10 6PP,51.590164,-1.081128
616213,OX1 5DN,51.710479,-1.289038
616249,OX1 3LE,51.759057,-1.259704
616539,OX1 2EP,51.753465,-1.266065
617017,OL9 9RH,53.533115,-2.158327
617421,OL9 7RN,53.534851,-2.136881
617738,OL8 3QL,53.516588,-2.143005
618899,OL7 0NT,53.476432,-2.112615
619976,OL5 9BZ,53.52751,-2.029453
620291,OL5 0PL,53.527548,-2.050043
620393,OL4 5HN,53.53624,-2.082282
620615,OL4 4LY,53.537765,-2.070951
620892,OL4 3RF,53.555671,-2.051056
620898,OL4 3SA,53.552788,-2.050104
621441,OL3 5UB,53.58855,-2.028211
621752,OL3 5LB,53.569161,-1.975106
622126,OL2 7UJ,53.591398,-2.095954
623302,OL16 4QB,53.595165,-2.134522
623484,OL16 3SZ,53.595492,-2.081264
624185,OL16 1PJ,53.612193,-2.160136
624307,OL15 9EW,53.660862,-2.082404
624327,OL15 0HJ,53.643122,-2.088691
624353,OL15 0LA,53.649574,-2.080476
624651,OL14 8RR,53.736904,-2.061178
624846,OL14 7TL,53.682,-2.09757
625413,OL14 6JJ,53.705037,-2.084596
625536,OL13 8PZ,53.722368,-2.197547
625859,OL13 8HP,53.697151,-2.206335
626205,OL12 9NU,53.650291,-2.133821
626953,OL12 6DQ,53.635425,-2.1683
628656,OL10 2QE,53.571596,-2.224294
628861,OL10 1PN,53.591883,-2.210356
630285,NW9 8JU,51.573004,-0.262556
630682,NW9 6BX,51.592152,-0.254304
631595,NW8 7SH,51.532896,-0.169616
632370,NW7 3LL,51.614148,-0.248106
633394,NW6 6PD,51.539392,-0.208823
633975,NW6 3EX,51.542398,-0.180973
636440,NW3 5JS,51.547405,-0.179678
640169,NW11 0PU,51.580523,-0.19885
641480,NW10 3JE,51.531164,-0.217105
642857,NW1 6DP,51.525234,-0.160971
642899,NW1 6JQ,51.521437,-0.163535
644126,NR9 5JS,52.698082,1.145056
644156,NR9 5NR,52.728337,1.155184
644243,NR9 4DA,52.623421,1.067974
644361,NR9 4NH,52.564943,0.975747
644362,NR9 4NJ,52.560086,0.992322
644384,NR9 4PP,52.58549,0.964524
644388,NR9 4PX,52.584748,0.97384
644924,NR9 3BW,52.613223,1.141937
645636,NR7 0TA,52.62646,1.373343
645889,NR7 0HF,52.626193,1.343815
